Position,Track Name,Artist,Streams,URL,album,date,explicit,features,acousticness,danceability,energy,key,loudness,speechiness,tempo,valence
53,Mo Bamba,Sheck Wes,8830267,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn,Mo Bamba,2017,True,None,0.268,0.738,0.629,6,-4.882,0.0495,146.067,0.319
54,STARGAZING,Travis Scott,8804838,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m,ASTROWORLD,2018,True,None,0.00947,0.487,0.789,8,-3.69,0.044,150.007,0.0564
55,Falling Down,Lil Peep,8795605,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q,Falling Down,2018,True,XXXTENTACION,0.0175,0.669,0.574,4,-6.442,0.0286,120.013,0.273
56,Cuando Te Besé,Becky G,8752505,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,Cuando Te Besé,2018,False,Paulo Londra,0.307,0.772,0.732,9,-3.713,0.213,100.048,0.295
57,Mala Mía,Maluma,8660335,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,Mala Mía,2018,False,None,0.31,0.749,0.752,6,-4.883,0.345,180.049,0.901
58,REMEDY,Alesso,8545089,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg,REMEDY,2018,False,None,0.269,0.601,0.775,0,-4.612,0.0473,119.964,0.483
59,Praise The Lord (Da Shine),A$AP Rocky,8311905,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,TESTING,2018,True,Skepta,0.0609,0.85,0.569,5,-8.152,0.136,80.02,0.294
60,Psycho (feat. Ty Dolla $ign),Post Malone,8172513,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,beerbongs & bentleys,2018,True,Ty Dolla $ign,0.58,0.739,0.559,8,-8.011,0.117,140.124,0.439
61,Quiere Beber,Anuel Aa,8050439,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z,Real Hasta la Muerte,2018,False,None,0.372,0.773,0.57,8,-3.482,0.113,95.038,0.772
62,Yes Indeed,Lil Baby,7983617,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,Harder Than Ever,2018,True,Drake,0.035,0.964,0.346,5,-9.309,0.53,119.958,0.562
63,Shape of You,Ed Sheeran,7910284,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,÷ (Deluxe),2017,False,None,0.581,0.825,0.652,1,-3.183,0.0802,95.977,0.931
64,Fuck Love (feat. Trippie Redd),XXXTENTACION,7839665,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,17,2017,True,Trippie Redd,0.0172,0.797,0.533,0,-9.74,0.0412,131.036,0.329
65,Greatest,Eminem,7810250,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv,Kamikaze,2018,True,None,0.0441,0.809,0.737,1,-5.186,0.108,80.025,0.367
66,Self Care,Mac Miller,7698017,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx,Swimming,2018,True,None,0.367,0.52,0.538,1,-8.109,0.206,141.894,0.177
67,Noticed,Lil Mosey,7609672,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC,Noticed,2018,True,None,0.462,0.699,0.558,11,-7.622,0.0603,79.992,0.493
68,Say My Name,David Guetta,7603228,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,7,2018,False,"Bebe Rexha, J Balvin",0.137,0.703,0.66,10,-5.119,0.123,95.031,0.79
69,Clandestino,Shakira,7600854,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf,Clandestino,2018,False,Maluma,0.39,0.766,0.822,1,-4.126,0.16,165.842,0.881
70,2002,Anne-Marie,7563249,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,Speak Your Mind (Deluxe),2018,False,None,0.0372,0.697,0.683,1,-2.881,0.117,96.133,0.603
71,RAP DEVIL,Machine Gun Kelly,7492195,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l,RAP DEVIL,2018,True,None,0.216,0.894,0.839,9,-4.487,0.224,149.955,0.762
72,Drip Too Hard,Lil Baby,7366534,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3,Drip Too Hard,2018,True,Gunna,0.0945,0.9,0.653,1,-6.962,0.289,112.503,0.399
73,Nevermind,Dennis Lloyd,7362554,https://open.spotify.com/track/63SevszngYpZOwf63o61K4,Nevermind,2017,False,None,0.156,0.592,0.691,3,-8.354,0.196,99.976,0.0796
74,Nice For What,Drake,7337259,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,Scorpion,2018,True,None,0.0891,0.586,0.909,8,-6.474,0.0705,93.394,0.757
75,SLOW DANCING IN THE DARK,Joji,7237051,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6,SLOW DANCING IN THE DARK,2018,True,None,0.544,0.515,0.479,3,-7.458,0.0261,88.964,0.284
76,I'm a Mess,Bebe Rexha,7220119,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R,Expectations,2018,False,None,0.00281,0.63,0.694,11,-6.257,0.0253,97.005,0.216
77,Born To Be Yours,Kygo,7121822,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM,Born To Be Yours,2018,False,Imagine Dragons,0.3,0.688,0.688,3,-5.84,0.0357,114.011,0.451
78,Ocean (feat. Khalid),Martin Garrix,7107172,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS,Ocean (feat. Khalid),2018,False,Khalid,0.584,0.506,0.693,0,-7.265,0.0412,139.912,0.221
79,No Me Acuerdo,Thalía,7073847,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd,No Me Acuerdo,2018,False,Natti Natasha,0.187,0.836,0.799,7,-4.247,0.0873,94.033,0.772
80,Kamikaze,Eminem,7058478,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy,Kamikaze,2018,True,None,0.112,0.78,0.808,2,-5.175,0.484,79.982,0.642
81,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,7026794,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,Back To You (From 13 Reasons Why – Season 2 Soundtrack),2018,False,None,0.0945,0.601,0.724,6,-4.856,0.0486,102.061,0.508
82,New Patek,Lil Uzi Vert,7022779,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud,New Patek,2018,True,None,0.0367,0.85,0.785,8,-4.963,0.345,145.063,0.718
83,Believer,Imagine Dragons,6979257,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,Evolve,2017,False,None,0.0622,0.776,0.78,10,-4.374,0.128,124.949,0.666
84,Asesina,Brytiago,6972259,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK,Asesina,2018,False,Darell,0.614,0.845,0.663,10,-5.233,0.27,94.215,0.508
85,IDGAF,Dua Lipa,6880881,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,Dua Lipa (Deluxe),2017,True,None,0.0403,0.836,0.544,7,-5.975,0.0943,97.028,0.51
86,Havana,Camila Cabello,6814477,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,Camila,2018,False,Young Thug,0.184,0.765,0.523,2,-4.333,0.03,104.988,0.394
87,Darkside,Alan Walker,6799401,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG,Darkside,2018,False,"Au/Ra, Tomine Harket",0.164,0.425,0.642,4,-5.06,0.0502,170.008,0.112
88,SWISH,Tyga,6741797,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD,SWISH,2018,True,None,0.0831,0.884,0.541,11,-5.608,0.221,105.009,0.274
89,lovely (with Khalid),Billie Eilish,6738107,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),2018,False,Khalid,0.934,0.351,0.296,4,-10.109,0.0333,115.284,0.12
90,New Rules,Dua Lipa,6496909,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,Dua Lipa (Deluxe),2017,False,None,0.00261,0.762,0.7,9,-6.021,0.0694,116.073,0.608
91,Kokain,Bonez MC,6492645,https://open.spotify.com/track/1H3oIeKUEHpBhXUiso0IMH,Kokain,2018,True,"RAF Camora, Gzuz",0.231,0.615,0.677,5,-7.906,0.363,170.117,0.608
92,Lean Wit Me,Juice WRLD,6478545,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk,Goodbye & Good Riddance,2018,True,None,0.0414,0.665,0.651,1,-5.515,0.156,163.935,0.237
93,Perfect,Ed Sheeran,6453595,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,÷ (Deluxe),2017,False,None,0.163,0.599,0.448,8,-6.312,0.0232,95.05,0.168
94,High On Life (feat. Bonn),Martin Garrix,6413598,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy,High On Life (feat. Bonn),2018,False,Bonn,0.0129,0.414,0.486,6,-6.431,0.0311,128.038,0.368
95,FRIENDS,Marshmello,6377713,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,FRIENDS,2018,True,Anne-Marie,0.205,0.626,0.88,9,-2.384,0.0504,95.079,0.534
96,Love Someone,Lukas Graham,6364881,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ,Love Someone,2018,False,None,0.161,0.55,0.415,9,-6.557,0.052,172.065,0.274
97,Thunder,Imagine Dragons,6306088,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,Evolve,2017,False,None,0.00671,0.605,0.822,0,-4.833,0.0438,167.997,0.288
98,All Girls Are The Same,Juice WRLD,6274667,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm,Goodbye & Good Riddance,2018,True,None,0.0769,0.671,0.529,0,-7.226,0.307,161.989,0.203
99,The Middle,Zedd,6269717,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,The Middle,2018,False,"Maren Morris, Grey",0.171,0.753,0.657,7,-3.061,0.0449,107.01,0.437
100,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,6147076,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy,STAY DANGEROUS,2018,True,"2 Chainz, Big Sean, Nicki Minaj",0.00552,0.745,0.346,1,-7.709,0.331,203.911,0.112
101,Look Alive (feat. Drake),BlocBoy JB,6135789,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL,Look Alive (feat. Drake),2018,True,Drake,0.00104,0.922,0.581,10,-7.495,0.27,140.022,0.595
102,I Like Me Better,Lauv,6028071,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,I met you when I was 18. (the playlist),2018,False,None,0.535,0.752,0.505,9,-7.621,0.253,91.97,0.419
103,Amigos Con Derechos,Reik,5971974,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,Amigos Con Derechos,2018,False,Maluma,0.0481,0.686,0.807,1,-3.324,0.0613,183.971,0.63
104,Everybody Dies In Their Nightmares,XXXTENTACION,5965127,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,17,2017,True,None,0.847,0.734,0.57,7,-7.066,0.133,129.953,0.689
105,Flames,David Guetta,5953979,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh,7,2018,False,Sia,0.0817,0.631,0.649,5,-5.892,0.0385,93.95,0.421
106,Love Lies (with Normani),Khalid,5938437,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,Love Lies (with Normani),2018,False,Normani,0.0956,0.708,0.648,6,-5.626,0.0449,143.955,0.338
107,X - Remix,Nicky Jam,5906176,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw,X (Remix),2018,False,"J Balvin, Maluma, Ozuna",0.0561,0.663,0.696,9,-4.957,0.103,180.113,0.738
108,La Player (Bandolera),Zion & Lennox,5873265,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP,La Player (Bandolera),2018,False,None,0.16,0.769,0.838,2,-5.238,0.0633,93.996,0.602
109,Me Niego,Reik,5826749,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T,Me Niego,2018,False,"Ozuna, Wisin",0.0543,0.777,0.779,0,-4.449,0.0972,94.023,0.768
110,Ya No Tiene Novio,Sebastian Yatra,5780517,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,Ya No Tiene Novio,2018,False,Mau y Ricky,0.048,0.632,0.832,7,-1.948,0.154,182.184,0.784
111,Toda - Remix,Alex Rose,5764085,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL,Toda (Remix),2018,True,"Rauw Alejandro, Cazzu, Lenny Tavárez, Lyanno",0.16,0.512,0.452,5,-7.217,0.124,80.04,0.364
112,I Fall Apart,Post Malone,5710174,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,Stoney (Deluxe),2016,True,None,0.0689,0.556,0.538,8,-5.408,0.0382,143.95,0.291
113,Blah Blah Blah,Armin van Buuren,5654676,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj,Blah Blah Blah,2018,False,None,0.00882,0.378,0.963,5,-3.911,0.0682,103.406,0.16
114,XO TOUR Llif3,Lil Uzi Vert,5632975,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,Luv Is Rage 2,2017,True,None,0.00264,0.732,0.75,11,-6.366,0.231,155.096,0.401
115,Drew Barrymore,Bryce Vine,5607029,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV,Drew Barrymore,2017,True,None,0.493,0.763,0.572,11,-7.312,0.0595,151.93,0.25
116,Look At Me!,XXXTENTACION,5579394,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s,Revenge,2017,True,None,0.259,0.763,0.726,1,-6.405,0.282,139.059,0.349
117,YOSEMITE,Travis Scott,5415054,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR,ASTROWORLD,2018,True,None,0.283,0.785,0.554,0,-6.571,0.0409,128.047,0.144
118,Wasted (feat. Lil Uzi Vert),Juice WRLD,5395663,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB,Goodbye & Good Riddance,2018,True,Lil Uzi Vert,0.0381,0.742,0.579,0,-5.024,0.202,144.994,0.502
119,X,Nicky Jam,5378107,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA,X,2018,False,J Balvin,0.0364,0.595,0.773,9,-4.736,0.0549,180.073,0.711
120,8 Letters,Why Don't We,5358067,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt,8 Letters,2018,False,None,0.649,0.607,0.478,1,-5.702,0.031,88.979,0.255
121,Normal,Eminem,5309344,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1,Kamikaze,2018,True,None,0.261,0.907,0.64,6,-6.542,0.354,120.995,0.803
122,Don’t Matter To Me (with Michael Jackson),Drake,5289243,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0,Scorpion,2018,False,Michael Jackson,0.493,0.826,0.318,10,-12.391,0.0574,103.002,0.138
123,Venom - Music From The Motion Picture,Eminem,5236878,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4,Kamikaze,2018,True,None,0.0193,0.749,0.794,0,-5.063,0.064,135.959,0.46
124,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,5219096,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",2018,False,"Jess Glynne, Macklemore, Dan Caplen",0.194,0.653,0.809,0,-4.057,0.0474,92.213,0.55
125,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,5202889,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",2018,False,"Jason Derulo, De La Ghetto",0.165,0.792,0.895,1,-3.112,0.0589,94.968,0.794
126,Feels Like Summer,Childish Gambino,5189836,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr,Summer Pack,2018,False,None,0.162,0.554,0.596,7,-8.214,0.13,165.728,0.255
